acl 2.4.0-1
archlinux-keyring 20260909-1
archlinuxarm-keyring 20240419-2
attr 2.6.0-1
audit 4.2.1-1
base 3-3
bash 5.3.20-1
binutils 2.46+r70+g155188ea10a7-1
brotli 1.2.0-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.129-1
ca-certificates-utils 20240618-1
coreutils 9.11-2
cryptsetup 2.8.8-1
curl 8.22.0-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
device-mapper 2.03.42-1
dhcpcd 10.5.2-1
dialog 1:1.3_20260721-1
diffutils 3.12-2
dtc 1:1.8.1-1
duktape 2.7.0-7
e2fsprogs 1.47.4-1
ex-vi-compat 3-1
expat 2.8.4-1
file 5.48-1
filesystem 2025.10.12-1
findutils 4.11.0-1
firmware-raspberrypi 20260311-1
gawk 5.4.1-1
gcc-libs 16.1.1+r12+g301eb08fa2c5-1
gdbm 1.26-2
gettext 1.0-2
git 2.55.0-1
glib2 2.88.3-1
glibc 2.43+r22+g8362e8ce10b2-2
gmp 6.3.0-3
gnulib-l10n 20241231-1
gnupg 2.4.9-3
gnutls 3.8.13-3
gpgme 2.2.0-1
gpm 1.20.7.r38.ge82d1a6-7
grep 3.12-2
gzip 1.15-1
hwdata 0.411-1
iana-etc 20260617-1
icu 78.3-1
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iw 6.17-1
jansson 2.15.1-1
json-c 0.19-1
kbd 2.10.0-1
keyutils 1.6.3-4
kmod 34.2-1
krb5 1.22.2-1
leancrypto 1.9.0-1
libarchive 3.8.9-1
libasan 16.1.1+r12+g301eb08fa2c5-1
libassuan 3.0.0-1
libatomic 16.1.1+r12+g301eb08fa2c5-1
libbpf 1.7.0-1
libcap 2.78-1
libcap-ng 0.9.6-1
libedit 20260512_3.1-1
libelf 0.196-1
libevent 2.1.13-2
libffi 3.8.0-1
libgcc 16.1.1+r12+g301eb08fa2c5-1
libgcrypt 1.12.4-1
libgfortran 16.1.1+r12+g301eb08fa2c5-1
libgomp 16.1.1+r12+g301eb08fa2c5-1
libgpg-error 1.61-1
libidn2 2.3.8-1
libksba 1.8.1-1
libldap 2.7.1-1
liblsan 16.1.1+r12+g301eb08fa2c5-1
libmakepkg-dropins 20-2
libmnl 1.0.5-2
libnetfilter_conntrack 1.1.1-1
libnfnetlink 1.0.2-2
libnftnl 1.3.2-1
libnghttp2 1.70.0-1
libnghttp3 1.18.0-1
libngtcp2 1.25.0-1
libnl 3.12.0-1
libnsl 2.0.1-2
libobjc 16.1.1+r12+g301eb08fa2c5-1
libp11-kit 0.26.5-1
libpcap 1.11.0-1
libpsl 0.21.5-2
libquadmath 16.1.1+r12+g301eb08fa2c5-1
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.8.2-1
libssh2 1.11.1-7
libstdc++ 16.1.1+r12+g301eb08fa2c5-1
libsysprof-capture 50.0-6
libtasn1 4.21.0-1
libtirpc 1.3.8-1
libtsan 16.1.1+r12+g301eb08fa2c5-1
libubsan 16.1.1+r12+g301eb08fa2c5-1
libunistring 1.4.2-1
libusb 1.0.30-1
libverto 0.3.2-6
libxcrypt 4.5.2-1
libxml2 2.15.4-1
libyaml 0.2.5-3
licenses 20240728-1
linux-api-headers 7.2-1
linux-firmware 20260916-1
linux-firmware-amd 20260916-1
linux-firmware-amdgpu 20260916-1
linux-firmware-atheros 20260916-1
linux-firmware-broadcom 20260916-1
linux-firmware-cirrus 20260916-1
linux-firmware-intel 20260916-1
linux-firmware-mediatek 20260916-1
linux-firmware-nvidia 20260916-1
linux-firmware-other 20260916-1
linux-firmware-radeon 20260916-1
linux-firmware-realtek 20260916-1
linux-firmware-ti 20260916-1
linux-firmware-whence 20260916-1
linux-rpi 6.18.52-1
lmdb 0.9.35-1
lz4 1:1.10.0-2
mkinitcpio 42-1
mkinitcpio-busybox 1.36.1-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
nano 9.2-1
ncurses 6.6-2
net-tools 2.10-3
netctl 1.29-2
nettle 4.0-1
nftables 1:1.1.7-3
npth 1.8-1
openssh 10.5p1-1
openssl 3.6.4-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260411-2
pam 1.7.2-2
pambase 20260616-1
pciutils 3.15.0-1
pcre2 10.48-1
pcsclite 2.5.2-1
perl 5.42.2-2
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
pinentry 1.3.3-1
polkit 127-3
popt 1.19-2
procps-ng 4.0.7-1
psmisc 23.7-2
python 3.14.7-1
raspberrypi-bootloader 20260915-1
raspberrypi-utils 20260914-1
readline 8.3.6-1
rpi5-eeprom 20260915-1
sed 4.10-2
shadow 4.20.0.arch1-1
sqlite 3.53.4-1
sudo 1.9.17.p2-6
systemd 261.3-1
systemd-libs 261.3-1
systemd-resolvconf 261.3-1
systemd-sysvcompat 261.3-1
tar 1.35-5
tpm2-tss 4.2.0-2
tzdata 2026d-1
util-linux 2.42.3-1
util-linux-libs 2.42.3-1
vim 9.2.1046-1
vim-runtime 9.2.1046-1
which 2.25-1
wireless-regdb 2026.09.03-1
wireless_tools 30.pre9-5
wpa_supplicant 2:2.12-1
xz 5.8.4-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zstd 1.5.7-3
