name	version	repository	architecture	download_bytes	url	sha256
abseil-cpp	20260817.0-2	extra	aarch64	1310120	http://mirror.archlinuxarm.org/aarch64/extra/abseil-cpp-20260817.0-2-aarch64.pkg.tar.xz	c003392fa0d87f66c08b202e49835c20f03d5e8c4e3e61e510c8839242293775
aquamarine	0.15.1-1	extra	aarch64	396652	http://mirror.archlinuxarm.org/aarch64/extra/aquamarine-0.15.1-1-aarch64.pkg.tar.xz	49dc8acbad78f97698bcefaba742c231eb108db41e6afaa3b89bac078eb22b7d
benchmark	1.9.5-2	extra	aarch64	222384	http://mirror.archlinuxarm.org/aarch64/extra/benchmark-1.9.5-2-aarch64.pkg.tar.xz	710ab192abd501f2783bfb665377d0c3324a7619763a8b2afda0d69bc8798b96
bubblewrap	0.12.0-1	extra	aarch64	41732	http://mirror.archlinuxarm.org/aarch64/extra/bubblewrap-0.12.0-1-aarch64.pkg.tar.xz	63b6bf71039e5efc254fb9e567bb915c6310ac1a9a84957f2b5c22d53383a62f
cairo	1.18.4-1	extra	aarch64	584132	http://mirror.archlinuxarm.org/aarch64/extra/cairo-1.18.4-1-aarch64.pkg.tar.xz	e8515ab333a4da9270b05a3b926594a2e682b454b797370ef0400c2e842fc136
dav1d	1.5.4-1	extra	aarch64	343120	http://mirror.archlinuxarm.org/aarch64/extra/dav1d-1.5.4-1-aarch64.pkg.tar.xz	1bacfe3c1125b7fe32d9fd9cce8fa48fd93aa0daf43608c2f92e6c1418ab9aeb
default-cursors	3-1	extra	any	2412	http://mirror.archlinuxarm.org/aarch64/extra/default-cursors-3-1-any.pkg.tar.xz	19a87290af8829271e9670576096b08b9262d8fac1e3deb4167d7cd3d3ae1830
fcft	3.3.3-1	extra	aarch64	83600	http://mirror.archlinuxarm.org/aarch64/extra/fcft-3.3.3-1-aarch64.pkg.tar.xz	dd72cdc9444d2bbc45a345e617a95a645040d2e7e2b0b8f7de78615a6e33bf30
fontconfig	2:2.18.3-2	extra	aarch64	385820	http://mirror.archlinuxarm.org/aarch64/extra/fontconfig-2:2.18.3-2-aarch64.pkg.tar.xz	8f3bf0609eb73b15526179357e139441bf1a9a502c3b948f0925e9b1b586129a
foot	1.28.0-2	extra	aarch64	316956	http://mirror.archlinuxarm.org/aarch64/extra/foot-1.28.0-2-aarch64.pkg.tar.xz	f941e7955c4ac814e99c3f2f91179c64c9de0c8fe26e3ab341e911e8cdbd83b6
freetype2	2.14.3-1	extra	aarch64	487400	http://mirror.archlinuxarm.org/aarch64/extra/freetype2-2.14.3-1-aarch64.pkg.tar.xz	080b6aa7827298e5b92800229d76689e0dbff08cd96690ae75e8feedf6a9ae5d
fribidi	1.0.16-2	extra	aarch64	70548	http://mirror.archlinuxarm.org/aarch64/extra/fribidi-1.0.16-2-aarch64.pkg.tar.xz	fb67c8b4fff88abc70ca28e3033844f783f2df9dea3d0212d21013e2e316fc88
gdk-pixbuf2	2.44.6-2	extra	aarch64	446168	http://mirror.archlinuxarm.org/aarch64/extra/gdk-pixbuf2-2.44.6-2-aarch64.pkg.tar.xz	b82777737dc0bd778040595ef78f73b9f03c06f4e45320490f5dbf80e393b657
giflib	6.1.3-2	extra	aarch64	85008	http://mirror.archlinuxarm.org/aarch64/extra/giflib-6.1.3-2-aarch64.pkg.tar.xz	e76eb0af39d3d9bb7a5f792d3040c7524c49bbe69395df54e4193a4510ed2e87
glslang	1:1.4.357.0-1	extra	aarch64	2120656	http://mirror.archlinuxarm.org/aarch64/extra/glslang-1:1.4.357.0-1-aarch64.pkg.tar.xz	f2415c238ca8299f9f31ae87c263d4ceb269364b0826e91f5fc9a1fefbaac243
glycin	2.1.5-2	extra	aarch64	3357200	http://mirror.archlinuxarm.org/aarch64/extra/glycin-2.1.5-2-aarch64.pkg.tar.xz	4e81cfef254f37e444a35c15d023f2fcdbd1586e8b48f47899ed9d81c52e9f4c
gperftools	2.18.1-1	extra	aarch64	469944	http://mirror.archlinuxarm.org/aarch64/extra/gperftools-2.18.1-1-aarch64.pkg.tar.xz	3cc5b9b683c6c783694759b2de1c618d7c20c3a36e9d8cb29eeeb0ca20fe8bbc
graphite	1:1.3.15-1	extra	aarch64	80168	http://mirror.archlinuxarm.org/aarch64/extra/graphite-1:1.3.15-1-aarch64.pkg.tar.xz	87c700c71585c7f44f951928184deb690a78d39ad36ea9b6c07c59d7592e4c92
gtest	1.18.0-1	extra	aarch64	362640	http://mirror.archlinuxarm.org/aarch64/extra/gtest-1.18.0-1-aarch64.pkg.tar.xz	b89d9d236da04689bf776e8639976a7568957ea4cd11b5035204daf5211f3d7a
harfbuzz	14.5.0-1	extra	aarch64	1322464	http://mirror.archlinuxarm.org/aarch64/extra/harfbuzz-14.5.0-1-aarch64.pkg.tar.xz	fcd8e850bdc41268a5d4d9c2de98b5c38f80c889ba5faace7351470f6bf4b622
highway	1.4.0-1	extra	aarch64	737544	http://mirror.archlinuxarm.org/aarch64/extra/highway-1.4.0-1-aarch64.pkg.tar.xz	5679e47d31ae1ecca8b7e18b9a24ce6027ca333c42d9283bbd30ea7fa672ba8f
hyprcursor	0.1.13-7	extra	aarch64	204804	http://mirror.archlinuxarm.org/aarch64/extra/hyprcursor-0.1.13-7-aarch64.pkg.tar.xz	c30d748c7942abb8f20c212c7e17f86199007f6ef4e20f07d95c3e47db6f63de
hyprgraphics	0.5.1-4	extra	aarch64	79400	http://mirror.archlinuxarm.org/aarch64/extra/hyprgraphics-0.5.1-4-aarch64.pkg.tar.xz	f084a115374a913909f1a95db9f7e028a2b6a6b4ac3ac6da3e836ef5a0947a3c
hyprland	0.56.2-3	extra	aarch64	49881864	http://mirror.archlinuxarm.org/aarch64/extra/hyprland-0.56.2-3-aarch64.pkg.tar.xz	dba57b0cba04557b7fa3478253c93fe4c8e88737f8dd570c0820177f567e5a95
hyprland-guiutils	0.2.2-3	extra	aarch64	133804	http://mirror.archlinuxarm.org/aarch64/extra/hyprland-guiutils-0.2.2-3-aarch64.pkg.tar.xz	8467f16d37862c89659fa321155b1f601694e70cff3883dd852bc72f1db2df6a
hyprlang	0.6.8-5	extra	aarch64	98352	http://mirror.archlinuxarm.org/aarch64/extra/hyprlang-0.6.8-5-aarch64.pkg.tar.xz	bd92f455fe0dc221767ae349e0f416f70fda779f810ea5a98b1fac2c77ed6527
hyprtoolkit	0.5.4-6	extra	aarch64	388380	http://mirror.archlinuxarm.org/aarch64/extra/hyprtoolkit-0.5.4-6-aarch64.pkg.tar.xz	1389a7db4f440900b1cf533981401cd7743e551954b0e617a17866bd480676e7
hyprutils	0.14.2-1	extra	aarch64	197828	http://mirror.archlinuxarm.org/aarch64/extra/hyprutils-0.14.2-1-aarch64.pkg.tar.xz	a48f017818b0b6900d6bc0d2de890477e9d8abef3d416089f36635d168b12280
hyprwire	0.3.1-3	extra	aarch64	169708	http://mirror.archlinuxarm.org/aarch64/extra/hyprwire-0.3.1-3-aarch64.pkg.tar.xz	da2c68e1163143cda6fc2a3f4d4bdf5485d598dd1c672b2d382b75904f145aca
iniparser	4.3.0-1	extra	aarch64	18484	http://mirror.archlinuxarm.org/aarch64/extra/iniparser-4.3.0-1-aarch64.pkg.tar.xz	6945d09d3d1c666e60305c8feaa5b16113af5d74447fa499d568911f880569f3
jbigkit	2.1-8	extra	aarch64	48816	http://mirror.archlinuxarm.org/aarch64/extra/jbigkit-2.1-8-aarch64.pkg.tar.xz	ecaddb099f4a1f1bcbc1497fd0f3dc98581552b9eacaa17c5568211c38bec1db
lcms2	2.19.1-1	extra	aarch64	205460	http://mirror.archlinuxarm.org/aarch64/extra/lcms2-2.19.1-1-aarch64.pkg.tar.xz	5f93d01820b4e1a463f3cb11e19916bb3761b4faca20d4e1f0854329ba3f46f8
libdatrie	0.2.14-1	extra	aarch64	109632	http://mirror.archlinuxarm.org/aarch64/extra/libdatrie-0.2.14-1-aarch64.pkg.tar.xz	13f6aeb32f57d91c59ca68ce21abce48353081e886d3e8c2d89d5884b1f4b969
libdecor	0.2.5-1	extra	aarch64	42288	http://mirror.archlinuxarm.org/aarch64/extra/libdecor-0.2.5-1-aarch64.pkg.tar.xz	af8fc60c81c611bc74935468fb99b6651f69a1cdf67a7f84eb09fee6fb664016
libdeflate	1.26-1	extra	aarch64	56044	http://mirror.archlinuxarm.org/aarch64/extra/libdeflate-1.26-1-aarch64.pkg.tar.xz	d8798122abe2cdc8f496d7a65904b6c14bfcd4448d31a47629aaeb021d1134e9
libdisplay-info	0.3.0-1	extra	aarch64	113384	http://mirror.archlinuxarm.org/aarch64/extra/libdisplay-info-0.3.0-1-aarch64.pkg.tar.xz	73af5a8923b764610ed281c3d1529c73bfeb40dcb3a4015a1e36ef4fc1ba7e5d
libdrm	2.4.134-1	extra	aarch64	400060	http://mirror.archlinuxarm.org/aarch64/extra/libdrm-2.4.134-1-aarch64.pkg.tar.xz	d4173d7adc60d32d389e44e976447962c31bc23ff9a2153539bd8ad766e307b8
