name	version	repository	architecture	bytes	archive	sha256	install_reason
python-pyxdg	0.28-7	extra	any	98408	python-pyxdg-0.28-7-any.pkg.tar.xz	faf084f51b17c2c6b1651abec373761f74951d377814cd9843d56025aad4c32d	dependency
python-dbus	1.4.0-2	extra	aarch64	117728	python-dbus-1.4.0-2-aarch64.pkg.tar.xz	75981dedd649b757d32c3e3604ad5a9af8643d276e048534caaed8932311d3b8	dependency
uwsm	0.27.0-1	extra	any	87248	uwsm-0.27.0-1-any.pkg.tar.xz	d7efdda151008fa354ade5276b8ff92f9682c63f9a749304ae91ccd36cf19549	root
elfutils	0.196-1	core	aarch64	671272	elfutils-0.196-1-aarch64.pkg.tar.xz	83951aac632b10ae3f814c9b0bc51e4b10045e40c7e89664fce2f9176299204c	dependency
libdwarf	1:2.3.2-1	extra	aarch64	396868	libdwarf-1:2.3.2-1-aarch64.pkg.tar.xz	2c0251070fa13b3324729e985f96df0402ad7bbcf689ffd45e39bc769c14e21e	dependency
cpptrace	1.0.4-2	extra	aarch64	178268	cpptrace-1.0.4-2-aarch64.pkg.tar.xz	eb0a6a99a599fa8dd31102fa365f0dfdcfbd2892238f5a2157f79e2d95fbfc5a	dependency
hicolor-icon-theme	0.18-1	extra	any	12320	hicolor-icon-theme-0.18-1-any.pkg.tar.xz	cdba2a3dba1dc73a10a1e2a4ac0da06deafa92ac243d81e127a1fcdafbe4a588	dependency
jemalloc	1:5.4.0-1	extra	aarch64	312652	jemalloc-1:5.4.0-1-aarch64.pkg.tar.xz	559172922b5163d5d23537f38286d4a3d3b6dc6232931b8889b8fc528ceba0f3	dependency
libpipewire	1:1.6.8-1	extra	aarch64	489492	libpipewire-1:1.6.8-1-aarch64.pkg.tar.xz	2af4060e5001c699d4a5ce65285722f24e58f2a7e5ada1e5d2da63aba31f2c07	dependency
double-conversion	3.4.0-1	extra	aarch64	52748	double-conversion-3.4.0-1-aarch64.pkg.tar.xz	f4d8f0db3a79d6cb06174920ec19cc1c1d943b7b019444be91c2685babc2d790	dependency
libb2	0.98.1-3	extra	aarch64	17316	libb2-0.98.1-3-aarch64.pkg.tar.xz	745b552a7d1d8c8d8e675bebfd38834c0ddfad99a413300382677c15c2b60495	dependency
libdaemon	0.14-6	extra	aarch64	19340	libdaemon-0.14-6-aarch64.pkg.tar.xz	b96e8eb1604bf7901feb1addd2882cce2f366b504d919c9fc28a53f8c240243b	dependency
avahi	1:0.9rc5-1	extra	aarch64	413888	avahi-1:0.9rc5-1-aarch64.pkg.tar.xz	cc5397663792b8a6aeeb8879d44020e21f7dc8f3889e4bcab25cb976b0033481	dependency
libcups	2:2.4.19-1	extra	aarch64	257944	libcups-2:2.4.19-1-aarch64.pkg.tar.xz	3b5a82439605980365feb637ffc5db67b9df418017a9f19b20f44404fe8a628b	dependency
libice	1.1.2-1	extra	aarch64	75552	libice-1.1.2-1-aarch64.pkg.tar.xz	a4ad016e993915e0aba8037ef0b9602ee55d9198b115c5d76a3397a4dda3c846	dependency
libproxy	0.5.12-1	extra	aarch64	27912	libproxy-0.5.12-1-aarch64.pkg.tar.xz	071afd9aaa0dc6f45f5e81e51c9122aacfadf85726962d013fdecb67cbfcec9b	dependency
libsm	1.2.6-1	extra	aarch64	44556	libsm-1.2.6-1-aarch64.pkg.tar.xz	023fe454c714f591cf3f6c1cf0fc07d61779d96b71836bffdd8e8b07536bfb8c	dependency
liburing	2.15-1	extra	aarch64	271192	liburing-2.15-1-aarch64.pkg.tar.xz	efb67ef7eed7b30bebebbe9420fbf67bbfd0676c2b731f30e47e544cdb73feaf	dependency
libxkbcommon-x11	1.13.2-1	extra	aarch64	38984	libxkbcommon-x11-1.13.2-1-aarch64.pkg.tar.xz	6f456540140a0abea3ac01502a6bb0419af81851d08d159879091a05962004fd	dependency
md4c	0.5.3-1	extra	aarch64	75540	md4c-0.5.3-1-aarch64.pkg.tar.xz	628672e501a7187658bbedd9d2c7185a39a59477221bbdaf15254ddb25cee787	dependency
tslib	1.24-1	extra	aarch64	100528	tslib-1.24-1-aarch64.pkg.tar.xz	ecad1c0c437edf05bdd8feff38a6e2e6c9647589f8eb148c88a51a8dad55f017	dependency
xcb-util-cursor	0.1.6-1	extra	aarch64	11580	xcb-util-cursor-0.1.6-1-aarch64.pkg.tar.xz	8db3ad73de0ad3714b3a25f3f1eceba9c0c60dd2d84c84357fa34fab6106083b	dependency
xdg-utils	1.2.1-2	extra	any	60512	xdg-utils-1.2.1-2-any.pkg.tar.xz	afd760ce97e18f354c5893038327c70b72053c23b41e609c5351c5c22fc84cd8	dependency
qt6-translations	6.11.2-1	extra	any	1950888	qt6-translations-6.11.2-1-any.pkg.tar.xz	9dea56673b6caf3f0a90abd396a2292a8846d10d44c923d03ba3800c3086e4f5	dependency
qt6-base	6.11.2-3	extra	aarch64	14800416	qt6-base-6.11.2-3-aarch64.pkg.tar.xz	5f4babb1a3a04b5e1a3ee5a7f59174dd1e5872832fcb6f7ef4a1a5c0e6433fcb	dependency
qt6-declarative	6.11.2-2	extra	aarch64	17392664	qt6-declarative-6.11.2-2-aarch64.pkg.tar.xz	49560f588aabbae74940fd78bb8255d67f4bd818f121cb7a7ca0acf8f5d141f2	dependency
qt6-svg	6.11.2-1	extra	aarch64	263572	qt6-svg-6.11.2-1-aarch64.pkg.tar.xz	5bda5b8f55da2fd2341c09ee61db7b39b3da77d70784cb900d08b79c9c6e4b7b	dependency
qt6-wayland	6.11.2-1	extra	aarch64	739744	qt6-wayland-6.11.2-1-aarch64.pkg.tar.xz	12ca424df624858675357aabbde590f1013b674531d2c57aa123c1d4f333e530	root
